date,close,high,low,open,volume,Dividends,Stock Splits
2020-05-05 00:00:00-04:00,,,,,0,0.365,0.0
2020-05-06 00:00:00-04:00,8.446932792663574,8.574516231970149,8.41173727432445,8.57011668728684,3248500,0.0,0.0
2020-05-07 00:00:00-04:00,8.61411190032959,8.71969846276682,8.519963483570875,8.54372085870477,5585000,0.0,0.0
2020-05-08 00:00:00-04:00,8.75489330291748,8.75489330291748,8.640507659388373,8.693301356066168,2639600,0.0,0.0
2020-05-11 00:00:00-04:00,8.578914642333984,8.640506581501821,8.490925438556587,8.543719128648473,2230500,0.0,0.0
2020-05-12 00:00:00-04:00,8.43813419342041,8.684502836104448,8.420536013664995,8.658106405598723,2912100,0.0,0.0
2020-05-13 00:00:00-04:00,8.30614948272705,8.44253284400159,8.244557538362617,8.429334210583223,3916600,0.0,0.0
2020-05-14 00:00:00-04:00,8.235758781433105,8.262156049334019,7.910200029467916,8.024585672989849,4211500,0.0,0.0
2020-05-15 00:00:00-04:00,8.1477689743042,8.200561822575997,8.094975286905207,8.174165398440097,2547600,0.0,0.0
2020-05-18 00:00:00-04:00,8.763691902160645,8.807686507077447,8.53492062789511,8.614110748919893,5006800,0.0,0.0
2020-05-19 00:00:00-04:00,8.658105850219727,8.807687012036205,8.649306760906441,8.737295975784608,4434400,0.0,0.0
2020-05-20 00:00:00-04:00,8.878077507019043,8.908873478610664,8.781289208728474,8.807686475058969,3642500,0.0,0.0
2020-05-21 00:00:00-04:00,8.816485404968262,8.926471495314908,8.754892623767592,8.807686316349983,3328700,0.0,0.0
2020-05-22 00:00:00-04:00,8.640507698059082,8.754893342100125,8.578915750932115,8.746094252759889,2569500,0.0,0.0
2020-05-26 00:00:00-04:00,9.142045021057129,9.225633853680646,9.02765937527366,9.02765937527366,5811600,0.0,0.0
2020-05-27 00:00:00-04:00,9.537995338439941,9.546794428395259,9.353218645015279,9.47640338700752,5271000,0.0,0.0
2020-05-28 00:00:00-04:00,9.458805084228516,9.586389369541118,9.4359279541183,9.555592555097551,3061700,0.0,0.0
2020-05-29 00:00:00-04:00,9.414809226989746,9.520395773712961,9.37081462273992,9.432407404340589,4788000,0.0,0.0
