date,open,high,low,close,volume,Dividends,Stock Splits,Capital Gains
2020-05-06 00:00:00-04:00,20.548862468424847,20.60835201009604,20.20084571838379,20.20084571838379,29300,0.0,0.0,0.0
2020-05-07 00:00:00-04:00,20.7422066720099,20.7818657394713,20.543905661287116,20.64008140563965,4700,0.0,0.0,0.0
2020-05-08 00:00:00-04:00,21.347020336500357,21.40650987569232,21.188380304562884,21.3896541595459,13500,0.0,0.0,0.0
2020-05-11 00:00:00-04:00,21.019828334160625,21.024785008563796,20.603397712164316,20.901838302612305,15100,0.0,0.0,0.0
2020-05-12 00:00:00-04:00,20.910765109514006,20.910765109514006,19.760623613031832,19.775495529174805,85200,0.0,0.0,0.0
2020-05-13 00:00:00-04:00,19.582146505455853,19.582146505455853,18.759200677327794,19.021947860717773,46300,0.0,0.0,0.0
2020-05-14 00:00:00-04:00,18.34277213705187,19.15481185913086,18.19404733578995,19.15481185913086,35300,0.0,0.0,0.0
2020-05-15 00:00:00-04:00,19.10622927516938,19.636682285237583,19.056653078676984,19.616851806640625,3800,0.0,0.0,0.0
2020-05-18 00:00:00-04:00,20.375351968373,21.41642951965332,20.375351968373,21.41642951965332,8900,0.0,0.0,0.0
2020-05-19 00:00:00-04:00,21.218127333863798,21.426343589196975,20.993057250976562,20.993057250976562,43400,0.0,0.0,0.0
2020-05-20 00:00:00-04:00,21.59489930932334,21.887392272728825,21.53342595550406,21.694047927856445,6800,0.0,0.0,0.0
2020-05-21 00:00:00-04:00,21.882432672697686,21.922093631147025,21.614726876580402,21.773366928100586,6400,0.0,0.0,0.0
2020-05-22 00:00:00-04:00,21.822942875626673,21.822942875626673,21.54532184308425,21.664302825927734,2100,0.0,0.0,0.0
2020-05-26 00:00:00-04:00,22.487246365060045,22.992912178057658,22.487246365060045,22.94928550720215,9200,0.0,0.0,0.0
2020-05-27 00:00:00-04:00,23.508491479963286,24.053818249958006,23.24078760534816,24.047868728637695,17900,0.0,0.0,0.0
2020-05-28 00:00:00-04:00,24.430590497778155,24.430590497778155,23.290364424366913,23.322092056274414,39500,0.0,0.0,0.0
2020-05-29 00:00:00-04:00,22.903678195165217,23.111892540300005,22.72025100190765,23.04645347595215,9600,0.0,0.0,0.0
2020-06-01 00:00:00-04:00,22.975068551230272,23.250705786200346,22.923510439252464,22.99192237854004,7700,0.0,0.0,0.0
2020-06-02 00:00:00-04:00,23.101974631388043,23.41330704769117,23.101974631388043,23.358774185180664,3000,0.0,0.0,0.0
2020-06-03 00:00:00-04:00,23.89517908089853,24.430588740636924,23.89517908089853,24.262033462524414,7000,0.0,0.0,0.0
2020-06-04 00:00:00-04:00,24.053816174863506,24.58922576904297,23.915006630287017,24.58922576904297,14500,0.0,0.0,0.0
2020-06-05 00:00:00-04:00,25.63030550272539,26.116140846814076,25.560900723732487,25.81869125366211,19200,0.0,0.0,0.0
