date,open,high,low,close,volume,Dividends,Stock Splits
2020-05-06 00:00:00-04:00,93.72055758433757,94.33653770899085,93.08936897297625,93.66732788085938,4042372,0.0,0.0
2020-05-07 00:00:00-04:00,94.77709668100057,94.99288331062654,93.1355659802382,93.42842102050781,4615580,1.558317,0.0
2020-05-08 00:00:00-04:00,94.5381861482915,94.96975938369116,93.29740387118753,94.78479766845703,5232615,0.0,0.0
2020-05-11 00:00:00-04:00,93.87541705248759,95.13931813244328,92.99685189264841,94.4765396118164,3697924,0.0,0.0
2020-05-12 00:00:00-04:00,94.8002112812563,95.8097945017978,92.68087005615234,92.68087005615234,5004587,0.0,0.0
2020-05-13 00:00:00-04:00,92.44196587550096,92.47279693098807,88.51154444518885,89.18973541259766,6153409,0.0,0.0
2020-05-14 00:00:00-04:00,88.29576781049947,90.2378600667162,86.16871380128865,90.12996673583984,5501332,0.0,0.0
2020-05-15 00:00:00-04:00,89.34388832000658,90.46906521717906,88.81982793482784,90.15309143066406,5006470,0.0,0.0
2020-05-18 00:00:00-04:00,92.38800588428184,94.29926652558385,92.2878188097369,93.68273162841797,4399162,0.0,0.0
2020-05-19 00:00:00-04:00,93.39757510208597,94.15283428606547,92.5883723479473,92.70397186279297,3390191,0.0,0.0
2020-05-20 00:00:00-04:00,93.19721685258583,94.38404940097791,92.94289295640753,93.54402160644531,4017372,0.0,0.0
2020-05-21 00:00:00-04:00,93.24345747375752,93.80604886518083,91.6867075903089,91.80230712890625,4184941,0.0,0.0
2020-05-22 00:00:00-04:00,91.99496722144681,92.07203562400444,90.62317302675555,91.23970794677734,4373117,0.0,0.0
2020-05-26 00:00:00-04:00,93.48234973760597,94.49963284870552,93.25885693218025,93.83686065673828,5720888,0.0,0.0
2020-05-27 00:00:00-04:00,95.51695279978077,96.97351576541794,95.15473553995751,96.7500228881836,5990965,0.0,0.0
2020-05-28 00:00:00-04:00,97.7749920834769,97.85205433035587,95.7327133865805,95.97161865234375,4095404,0.0,0.0
2020-05-29 00:00:00-04:00,95.30885384003957,96.43403038438899,94.2067898213321,96.25677490234375,8294675,0.0,0.0
2020-06-01 00:00:00-04:00,96.05640128017296,96.91184764380169,95.58629078393268,96.24906921386719,3003798,0.0,0.0
2020-06-02 00:00:00-04:00,96.8501911904424,97.1045150756836,96.07181323435776,97.1045150756836,3115093,0.0,0.0
2020-06-03 00:00:00-04:00,97.99079530314515,99.87893752624231,97.8751957629915,99.45507049560547,4097914,0.0,0.0
2020-06-04 00:00:00-04:00,98.47632388533391,99.37800773001162,97.89061377508197,99.3317642211914,4042581,0.0,0.0
2020-06-05 00:00:00-04:00,103.18510565469563,103.44714192474522,101.53587498051921,101.7747802734375,6163764,0.0,0.0
2020-06-08 00:00:00-04:00,101.93662211997639,104.71874787239491,101.93662211997639,104.61856079101562,5617543,0.0,0.0
2020-06-09 00:00:00-04:00,102.8999641181978,102.96161392337326,100.97328470206439,101.62835693359375,5641706,0.0,0.0
2020-06-10 00:00:00-04:00,101.84415115668638,101.9058071166856,100.033077290467,100.08702087402344,4952601,0.0,0.0
2020-06-11 00:00:00-04:00,97.12763378664337,97.18158351391513,90.81584165749206,90.94685363769531,12304726,0.0,0.0
2020-06-12 00:00:00-04:00,93.44383485750818,94.8849851570154,91.92561000106754,93.95247650146484,6506434,0.0,0.0
2020-06-15 00:00:00-04:00,91.85623618020121,94.30696938164135,91.16263290811206,93.75209045410156,5385959,0.0,0.0
2020-06-16 00:00:00-04:00,96.33384809655878,98.26052136835796,94.91581647011108,96.44944763183594,5864608,0.0,0.0
2020-06-17 00:00:00-04:00,96.97349005287624,97.29717609294433,95.10076058624789,95.67876434326172,3302013,0.0,0.0
2020-06-18 00:00:00-04:00,94.79250773085808,95.87144701324792,94.27615984255829,95.68648529052734,2997208,0.0,0.0
2020-06-19 00:00:00-04:00,97.2355381298671,97.73647358189031,94.21450681517138,94.3840560913086,8471554,0.0,0.0
2020-06-22 00:00:00-04:00,94.11429459121489,94.40714955805285,92.88893115509272,93.30509185791016,4993081,0.0,0.0
